Comparison	Signature	Sample	Age	Cell_type	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	Dataset	leadingEdge_top
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 5-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 5-Neurogenic progenitor	1.5971889474524837e-4	5.342431335211119e-4	0.8172461222526324	3.0426015042097214	0	96	DLX1, DLX2, SP8, CDCA3, CENPA, SPC24, HJURP, CDCA8, CCNB1, NCAPD2, CKS2, TPX2, CENPF, TUBB, RACGAP1, KIF23, MKI67, CKS1B, BIRC5, CKAP2L, CDCA2, FAM64A, ASPM, RRM2, UBE2C, TOP2A, NUSAP1, PRC1, KIF15, MDK, CENPE, DLX5, SMC4, CDCA7, ATAD2, NEIL3, LMNB1, CASC5, CCDC34, KIF11, TMPO, HMMR, CCNA2, CDK1, PSRC1, HMGB2, CCNG2, TUBA1B, PBK, SMC2, ECT2, EZH2, MPPED2, CDKN2C, TOX3, H2AFX, CENPP, CKAP2, SOX11, MXD3, DEK, HDGF, SP9, H2AFZ, SPC25, CDK4, NFIB, NRXN3, CCND2, DDAH2, TIAM2	Anderson et al 2020	DLX1, DLX2, SP8, CDCA3, CENPA, SPC24, HJURP, CDCA8, CCNB1, NCAPD2, CKS2, TPX2, CENPF, TUBB, RACGAP1, KIF23, MKI67, CKS1B, BIRC5, CKAP2L, CDCA2, FAM64A, ASPM, RRM2, UBE2C, TOP2A, NUSAP1, PRC1, KIF15, MDK, CENPE, DLX5, SMC4, CDCA7, ATAD2, NEIL3, LMNB1, CASC5, CCDC34, KIF11, TMPO, HMMR, CCNA2, CDK1, PSRC1, HMGB2, CCNG2, TUBA1B, PBK, SMC2
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 7-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 7-Neurogenic progenitor	1.6103059581320451e-4	5.342431335211119e-4	0.7664760093236034	2.835899953260364	0	93	DLX1, DLX2, TEAD2, CDCA3, CENPA, CENPM, CDCA8, E2F1, DTL, CKS2, TPX2, CENPF, MKI67, CKS1B, BIRC5, CLSPN, RRM2, UBE2C, POU3F2, MMS22L, TOP2A, HAT1, PRC1, MDK, SMC4, CDCA7, ATAD2, NEIL3, LMNB1, DTYMK, CCDC34, HELLS, TMPO, CCNA2, SIVA1, HMGB2, TUBA1B, PBK, SMC2, EZH2, EGFR, H2AFX, H2AFY, SETBP1, DCTPP1, CENPP, TEAD1, SOX11, NELL2, DEK, HDGF, NFIA, H2AFZ, SPC25, CDK4, CCND2, LSM4, SNRPB, NFIX, RAD51B, MSI2, ANP32E, USP1, LIMA1, EIF5A	Anderson et al 2020	DLX1, DLX2, TEAD2, CDCA3, CENPA, CENPM, CDCA8, E2F1, DTL, CKS2, TPX2, CENPF, MKI67, CKS1B, BIRC5, CLSPN, RRM2, UBE2C, POU3F2, MMS22L, TOP2A, HAT1, PRC1, MDK, SMC4, CDCA7, ATAD2, NEIL3, LMNB1, DTYMK, CCDC34, HELLS, TMPO, CCNA2, SIVA1, HMGB2, TUBA1B, PBK, SMC2
HGG-G34R.V_vs_HGG-IDH	HF RG-early	Human fetal cortex/MGE	Human fetal	earlyRG	1.5928639694170118e-4	5.342431335211119e-4	0.7207553612110259	2.6982788814455034	0	100	OTX1, NR2E1, GLI2, CDCA3, SPC24, CKS2, SERTAD4, KIAA0101, CDC25C, PTTG1, HMGN2, CKS1B, CENPN, FAM64A, RAD51AP1, RRM2, UBE2C, TTK, AJUBA, NCAPG, UBE2T, CDKN3, TYMS, PRC1, KIF15, CENPE, MND1, NDC80, HIST1H4C, CENPW, CENPU, HMGB2, PBK, TFAP2C, HIST1H1C, HIST1H1E, ZNF217, UBB, HIST1H2BK, EIF1AD, MCAM, POLR2L, POLR2L, GMNN, PCNA, PCNA, RBBP8, ZNF844, SNHG15, SNHG15, SNHG15, SNHG15, PPM1D, DARS, HSPE1, VIM, TCF7L1, MFAP2, NSUN4, CASP3, FGFR3	Nowakowski et al 2017	OTX1, NR2E1, GLI2, CDCA3, SPC24, CKS2, SERTAD4, KIAA0101, CDC25C, PTTG1, HMGN2, CKS1B, CKS1B, CENPN, FAM64A, RAD51AP1, RRM2, UBE2C, TTK, AJUBA, NCAPG, UBE2T, CDKN3, TYMS, PRC1, KIF15, CENPE, MND1, NDC80, HIST1H4C, CENPW, CENPU, HMGB2, PBK, TFAP2C, HIST1H1C, HIST1H1E
HGG-G34R.V_vs_HGG-IDH	VSVZ-2 aNSC+TAC+NB	V-SVZ	Mouse adult	VSVZ-2 aNSC+TAC+NB	1.6265452179570593e-4	5.342431335211119e-4	0.7126604967408128	2.615053640891251	0	89	DLX1, DLX2, CDCA3, ARX, SPC24, MCM6, CDCA8, MCM5, NCAPD2, CKS2, TUBB, RACGAP1, KIAA0101, MKI67, CKS1B, BIRC5, FAM64A, RRM2, UBE2C, TOP2A, TYMS, MDK, LIG1, MCM7, HMGB3, SMC4, CDCA7, CENPH, LMNB1, TMPO, CCNA2, CDK1, HMGB2, DCX, PBK, MEX3A, NREP, EZH2, H2AFX, SOX11, BANF1, H2AFZ, CDK4, NFIB, CCND2, DDAH2, NFIX, TIAM2, MFAP2	Mizrak et al 2019	DLX1, DLX2, CDCA3, ARX, SPC24, MCM6, CDCA8, MCM5, NCAPD2, CKS2, TUBB, RACGAP1, KIAA0101, MKI67, CKS1B, BIRC5, FAM64A, RRM2, UBE2C, TOP2A, TYMS, MDK, LIG1, MCM7, HMGB3, SMC4, CDCA7, CENPH, LMNB1, TMPO, CCNA2, CDK1, HMGB2, DCX, PBK, MEX3A, NREP
HGG-G34R.V_vs_HGG-IDH	HF MGE-RG2	Human fetal cortex/MGE	Human fetal	MGE Radial Glia 2	1.5928639694170118e-4	5.342431335211119e-4	0.6901362885592432	2.583650809908258	0	100	TIMELESS, VEPH1, E2F7, PROM1, MCM5, CDK2, DTL, MCM3, MCM4, CHAF1A, BRIP1, KIAA0101, LIMD1, RAD51AP1, WDHD1, ILDR2, LIPG, GINS2, ORC6, TYMS, PLK4, CDK6, MCM7, KNTC1, MCM10, FEN1, RORB, BRCA1, HELLS, WDR76, BRCA2, CDK1, PDLIM3, LRR1, CENPU, CHEK1, RAD18, NOTCH1, LMO1, EGFR, RBL1, TOX3, C5orf30, SMC1A, RFC3, GMNN, PCNA, PCNA, PDPN, UNG, EMP2, ZNF473, CCND2, DHFR, FZD5, DAXX, CDC7, TCF7L1, PRMT5, UTP20	Nowakowski et al 2017	TIMELESS, VEPH1, E2F7, PROM1, MCM5, CDK2, DTL, MCM3, MCM4, CHAF1A, BRIP1, KIAA0101, LIMD1, RAD51AP1, WDHD1, ILDR2, LIPG, GINS2, ORC6, TYMS, PLK4, CDK6, MCM7, KNTC1, MCM10, FEN1, RORB, BRCA1, HELLS, WDR76, BRCA2, CDK1, PDLIM3, LRR1, CENPU, CHEK1, RAD18
HGG-G34R.V_vs_HGG-IDH	VSVZ-1 aNSC+TAC+NB	V-SVZ	Mouse adult	VSVZ-1 aNSC+TAC+NB	1.6103059581320451e-4	5.342431335211119e-4	0.6361150032627678	2.353574653449427	0	93	DLX1, DLX2, ARX, SPC24, CDCA8, CKS2, TUBB, KIAA0101, PTTG1, CKS1B, BIRC5, RRM2, UBE2C, TOP2A, GAD2, TYMS, MDK, LIG1, DLX5, MCM7, HMGB3, SMC4, CDCA7, HMGB2, DBN1, DCX, TUBA1B, PBK, MEX3A, NREP, H2AFX, SOX11, PCNA, MEIS2, SP9, BANF1, H2AFZ, CDK4, NFIB, ACTG1, CCND2, DDAH2, NFIX, TIAM2, MFAP2	Mizrak et al 2019	DLX1, DLX2, ARX, SPC24, CDCA8, CKS2, TUBB, KIAA0101, PTTG1, CKS1B, BIRC5, RRM2, UBE2C, TOP2A, GAD2, TYMS, MDK, LIG1, DLX5, MCM7, HMGB3, SMC4, CDCA7, HMGB2, DBN1, DCX, TUBA1B, PBK, MEX3A, NREP
HGG-G34R.V_vs_HGG-IDH	HF MGE-IPC3	Human fetal cortex/MGE	Human fetal	MGE Progenitors	1.5928639694170118e-4	5.342431335211119e-4	0.619732743784182	2.320082325691557	0	100	DLX1, DLX2, MCM2, METAP1D, CENPF, HMGN2, E2F2, CLSPN, ILDR2, DLX6, HAT1, GAD2, GINS2, NUDT1, SF3B4, DLX5, CDK6, TCF3, CDCA7, HELLS, CITED2, HMGB2, TUBA1B, MYO1B, LMO1, RBL1, TOX3, UPF3B, TEAD1, SREBF2, RGS16, FBXW7, SP9, CCND2, RND3, NRF1, OLA1, MSI2, CCNE2, ZC3H12C, ANP32E, USP1	Nowakowski et al 2017	DLX1, DLX2, MCM2, METAP1D, CENPF, HMGN2, E2F2, CLSPN, ILDR2, DLX6, HAT1, GAD2, GINS2, NUDT1, SF3B4, DLX5, CDK6, TCF3, CDCA7, HELLS, CITED2, HMGB2, TUBA1B
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 8-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 8-Neurogenic progenitor	1.5971889474524837e-4	5.342431335211119e-4	0.6003585667444522	2.2351306766766115	0	96	DLX1, DLX2, SP8, SEL1L3, CDCA7L, PAX6, TUBB, MAML3, GAD2, ROBO2, TP53I11, BCL11A, SYNPR, MDK, DLX5, CDCA7, AUTS2, FOXN3, CITED2, HIST3H2BB, MEX3A, CARHSP1, MPPED2, TOX3, BASP1, SOX11, MEIS2, SP9, CDK4, NFIB, NRXN3, PBX1, CCND2, VIM, PTPRS, DDAH2, NFIX, TIAM2, RND3, MFAP2, BTG1, PROX1	Anderson et al 2020	DLX1, DLX2, SP8, SEL1L3, CDCA7L, PAX6, TUBB, MAML3, GAD2, ROBO2, TP53I11, BCL11A, SYNPR, MDK, DLX5, CDCA7, AUTS2, FOXN3, CITED2, HIST3H2BB, MEX3A
HGG-G34R.V_vs_HGG-IDH	HF tRG	Human fetal cortex/MGE	Human fetal	Truncated Radial Glia	1.5928639694170118e-4	5.342431335211119e-4	0.5908347086410554	2.211897271318942	0	100	MOXD1, PAX6, FZD8, GLI3, LDLR, TAGLN2, LTBP1, ADAM33, LIPG, AJUBA, HES1, ANGPTL1, LAMB2, BMP7, MEGF10, SHROOM3, NRG1, DOK5, ST5, CDO1, SFRP1, LRIG3, PDLIM3, PSRC1, TFAP2C, PLCH1, EVA1C, EGFR, GPR98, HEG1, COL4A6, MCAM, BOC, ZFP36L1, H6PD, TMEM132B, KIAA1161, PSAT1, MAST4, FGFBP3, PLEKHG1, ITGB8, ANKFN1, LRP10, LGALS3BP, CTGF, PPARGC1A, LRRC3B, SALL3	Nowakowski et al 2017	MOXD1, PAX6, FZD8, GLI3, LDLR, TAGLN2, LTBP1, ADAM33, LIPG, AJUBA, HES1, ANGPTL1, LAMB2, BMP7, MEGF10, SHROOM3, NRG1, DOK5, ST5, CDO1, SFRP1, LRIG3, PDLIM3, PSRC1, TFAP2C, PLCH1
HGG-G34R.V_vs_HGG-IDH	F-e12 DRGC	Forebrain E12.5	Mouse E12.5	Dorsal radial glial cells	1.5928639694170118e-4	5.342431335211119e-4	0.5821848659045876	2.179515010652272	0	100	DMRTA2, PAX6, MCM2, MCM6, GLI3, MCM5, MCM3, MCM4, PLAGL1, HES1, NEUROG2, GINS2, MDK, MCM7, HES5, INSIG1, CDCA7, FABP7, SFRP1, HELLS, SIVA1, EMX2, MPPED2, SOX9, DCTPP1, LHX2, DEK, ZFP36L1, UNG, PSAT1, NFIB, CCND2, VIM	Jessa et al 2019	DMRTA2, PAX6, MCM2, MCM6, GLI3, MCM5, MCM3, MCM4, PLAGL1, HES1, NEUROG2, GINS2, MDK, MCM7, HES5, INSIG1, CDCA7, FABP7, SFRP1, HELLS, SIVA1, EMX2
